,id,sales
0,0,34
1,1,49
2,2,44
3,3,40
4,4,29
5,5,29
6,6,27
7,7,47
8,8,40
9,9,43
10,10,36
11,11,51
12,12,46
13,13,43
14,14,31
15,15,31
16,16,28
17,17,49
18,18,43
19,19,46
20,20,37
21,21,52
22,22,47
23,23,43
24,24,32
25,25,31
26,26,28
27,27,50
28,28,44
29,29,46
30,30,38
31,31,53
32,32,48
33,33,45
34,34,32
35,35,32
36,36,29
37,37,51
38,38,45
39,39,47
40,40,45
41,41,62
42,42,56
43,43,52
44,44,37
45,45,37
46,46,34
47,47,60
48,48,52
49,49,56
50,50,33
51,51,47
52,52,42
53,53,39
54,54,28
55,55,28
56,56,26
57,57,45
58,58,39
59,59,41
60,60,34
61,61,49
62,62,44
63,63,40
64,64,30
65,65,29
66,66,26
67,67,47
68,68,41
69,69,43
70,70,34
71,71,49
72,72,44
73,73,41
74,74,30
75,75,30
76,76,27
77,77,47
78,78,41
79,79,43
80,80,36
81,81,51
82,82,46
83,83,43
84,84,31
85,85,31
86,86,28
87,87,49
88,88,43
89,89,46
90,90,37
91,91,52
92,92,47
93,93,43
94,94,32
95,95,31
96,96,28
97,97,50
98,98,43
99,99,46
100,100,38
101,101,53
102,102,48
103,103,45
104,104,32
105,105,32
106,106,29
107,107,51
108,108,45
109,109,47
110,110,45
111,111,62
112,112,56
113,113,52
114,114,37
115,115,37
116,116,34
117,117,60
118,118,52
119,119,56
120,120,33
121,121,47
122,122,42
123,123,39
124,124,28
125,125,28
126,126,26
127,127,45
128,128,39
129,129,41
130,130,34
131,131,49
132,132,44
133,133,40
134,134,30
135,135,29
136,136,26
137,137,47
138,138,40
139,139,43
140,140,34
141,141,49
142,142,44
143,143,41
144,144,30
145,145,30
146,146,27
147,147,47
148,148,41
149,149,43
150,150,36
151,151,52
152,152,46
153,153,43
154,154,31
155,155,31
156,156,28
157,157,50
158,158,43
159,159,46
160,160,37
161,161,52
162,162,47
163,163,43
164,164,31
165,165,31
166,166,28
167,167,50
168,168,43
169,169,46
170,170,38
171,171,53
172,172,48
173,173,44
174,174,32
175,175,32
176,176,29
177,177,51
178,178,45
179,179,47
180,180,45
181,181,62
182,182,56
183,183,52
184,184,37
185,185,37
186,186,34
187,187,60
188,188,52
189,189,55
190,190,33
191,191,47
192,192,42
193,193,39
194,194,28
195,195,28
196,196,26
197,197,45
198,198,39
199,199,41
200,200,34
201,201,49
202,202,44
203,203,40
204,204,30
205,205,29
206,206,26
207,207,47
208,208,40
209,209,43
210,210,34
211,211,49
212,212,44
213,213,40
214,214,30
215,215,29
216,216,27
217,217,47
218,218,41
219,219,43
220,220,36
221,221,51
222,222,46
223,223,43
224,224,31
225,225,31
226,226,28
227,227,49
228,228,43
229,229,46
230,230,37
231,231,52
232,232,47
233,233,43
234,234,32
235,235,32
236,236,29
237,237,50
238,238,44
239,239,46
240,240,37
241,241,52
242,242,47
243,243,43
244,244,31
245,245,31
246,246,28
247,247,50
248,248,43
249,249,46
250,250,44
251,251,61
252,252,55
253,253,51
254,254,36
255,255,36
256,256,33
257,257,59
258,258,51
259,259,55
260,260,19
261,261,28
262,262,24
263,263,22
264,264,16
265,265,16
266,266,15
267,267,27
268,268,23
269,269,24
270,270,20
271,271,30
272,272,26
273,273,24
274,274,17
275,275,17
276,276,15
277,277,28
278,278,24
279,279,26
280,280,21
281,281,31
282,282,27
283,283,25
284,284,18
285,285,18
286,286,16
287,287,29
288,288,25
289,289,27
290,290,21
291,291,32
292,292,28
293,293,25
294,294,18
295,295,18
296,296,16
297,297,30
298,298,26
299,299,27
300,300,27
301,301,38
302,302,34
303,303,31
304,304,22
305,305,22
306,306,20
307,307,36
308,308,31
309,309,34
310,310,19
311,311,28
312,312,24
313,313,22
314,314,16
315,315,16
316,316,15
317,317,26
318,318,22
319,319,24
320,320,20
321,321,29
322,322,25
323,323,23
324,324,17
325,325,17
326,326,15
327,327,28
328,328,23
329,329,25
330,330,19
331,331,28
332,332,25
333,333,23
334,334,16
335,335,16
336,336,15
337,337,27
338,338,23
339,339,24
340,340,20
341,341,30
342,342,26
343,343,24
344,344,17
345,345,17
346,346,15
