,id,rate
0,0,57
1,1,50
2,2,59
3,3,61
4,4,52
5,5,59
6,6,56
7,7,57
8,8,53
9,9,54
10,10,55
11,11,58
12,12,51
13,13,57
14,14,52
15,15,58
16,16,57
17,17,54
18,18,60
19,19,57
20,20,52
21,21,56
22,22,59
23,23,57
24,24,55
25,25,55
26,26,48
27,27,57
28,28,52
29,29,57
30,30,56
31,31,57
32,32,58
33,33,57
34,34,51
35,35,57
36,36,52
37,37,47
38,38,59
39,39,58
40,40,57
41,41,55
42,42,58
43,43,61
44,44,56
45,45,49
46,46,56
47,47,54
48,48,56
49,49,51
50,50,54
51,51,55
52,52,53
53,53,57
54,54,54
55,55,58
56,56,58
57,57,51
58,58,54
59,59,54
60,60,60
61,61,57
62,62,57
63,63,51
64,64,56
65,65,57
66,66,55
67,67,59
68,68,58
69,69,57
70,70,55
71,71,56
72,72,54
73,73,59
74,74,50
75,75,53
76,76,54
77,77,56
78,78,58
79,79,57
80,80,59
81,81,56
82,82,53
83,83,60
84,84,60
85,85,50
86,86,60
87,87,58
88,88,56
89,89,56
90,90,54
91,91,54
92,92,57
93,93,56
94,94,56
95,95,60
96,96,52
97,97,61
98,98,59
99,99,57
100,100,55
101,101,58
102,102,56
103,103,56
104,104,55
105,105,53
106,106,53
107,107,60
108,108,60
109,109,59
110,110,55
111,111,55
112,112,58
113,113,58
114,114,58
115,115,57
116,116,57
117,117,54
118,118,55
119,119,58
120,120,57
121,121,56
122,122,56
123,123,57
124,124,58
125,125,55
126,126,53
127,127,56
128,128,60
129,129,58
130,130,52
131,131,55
132,132,58
133,133,58
134,134,51
135,135,56
136,136,57
137,137,55
138,138,51
139,139,49
140,140,60
141,141,57
142,142,48
143,143,52
144,144,58
145,145,56
146,146,54
147,147,58
148,148,54
149,149,56
150,150,55
151,151,56
152,152,60
153,153,60
154,154,55
155,155,60
156,156,59
157,157,50
158,158,56
159,159,53
160,160,55
161,161,58
162,162,50
163,163,58
164,164,58
165,165,55
166,166,57
167,167,50
168,168,55
169,169,55
170,170,58
171,171,53
172,172,57
173,173,57
174,174,52
175,175,61
176,176,56
177,177,56
178,178,54
179,179,56
180,180,59
181,181,54
182,182,59
183,183,60
184,184,54
185,185,58
186,186,54
187,187,56
188,188,58
189,189,56
190,190,50
191,191,59
192,192,59
193,193,57
194,194,57
195,195,50
196,196,56
197,197,56
198,198,57
199,199,56
200,200,52
201,201,58
202,202,53
203,203,54
204,204,49
205,205,52
206,206,54
207,207,54
208,208,52
209,209,54
210,210,53
211,211,55
212,212,51
213,213,55
214,214,54
215,215,56
216,216,59
217,217,56
218,218,57
219,219,50
220,220,49
221,221,55
222,222,49
223,223,57
224,224,55
225,225,59
226,226,56
227,227,58
228,228,54
229,229,55
230,230,58
231,231,54
232,232,59
233,233,59
234,234,58
235,235,53
236,236,53
237,237,57
238,238,51
239,239,57
240,240,56
241,241,55
242,242,56
243,243,48
244,244,58
245,245,55
246,246,52
247,247,55
248,248,60
249,249,58
250,250,48
251,251,58
252,252,57
253,253,60
254,254,57
255,255,51
256,256,56
257,257,56
258,258,59
259,259,52
260,260,55
261,261,50
262,262,54
263,263,51
264,264,57
265,265,56
266,266,59
267,267,57
268,268,47
269,269,53
270,270,53
271,271,52
272,272,58
273,273,54
274,274,58
275,275,57
276,276,48
277,277,56
278,278,58
279,279,56
280,280,59
281,281,56
282,282,55
283,283,53
284,284,57
285,285,53
286,286,58
287,287,51
288,288,56
289,289,55
290,290,49
291,291,55
292,292,53
293,293,55
294,294,55
295,295,56
296,296,57
297,297,53
298,298,56
299,299,58
300,300,54
301,301,55
302,302,56
303,303,57
304,304,55
305,305,56
306,306,59
307,307,57
308,308,56
309,309,54
310,310,56
311,311,56
312,312,60
313,313,53
314,314,59
315,315,57
316,316,56
317,317,53
318,318,58
319,319,48
320,320,53
321,321,58
322,322,52
323,323,57
324,324,50
325,325,58
326,326,59
327,327,57
328,328,47
329,329,53
330,330,54
331,331,55
332,332,60
333,333,58
334,334,57
335,335,56
336,336,50
337,337,53
338,338,56
339,339,57
340,340,51
341,341,57
342,342,53
343,343,55
344,344,55
345,345,53
346,346,53
347,347,56
348,348,55
349,349,51
350,350,54
351,351,56
352,352,58
353,353,54
354,354,57
355,355,57
356,356,50
357,357,55
358,358,55
359,359,47
360,360,55
361,361,51
362,362,59
363,363,52
364,364,57
365,365,57
366,366,56
367,367,56
368,368,54
369,369,56
370,370,54
371,371,58
372,372,55
373,373,56
374,374,53
375,375,58
376,376,53
377,377,54
378,378,52
379,379,58
380,380,56
381,381,49
382,382,49
383,383,57
384,384,53
385,385,57
386,386,57
387,387,58
388,388,54
389,389,49
390,390,57
391,391,58
392,392,58
393,393,56
394,394,59
395,395,61
396,396,55
397,397,59
